Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD,Popularity_Tier,Revenue_Per_Episode,Character_encoded,Country_encoded
Mr Bean,Saudi Arabia,0.42513896610421165,0.518628912071535,0.14855883960187374,Medium,0.28589409894386764,3,13
Peppa Pig,Russia,0.9426762407440409,0.40536512667660207,0.3276505498025284,High,0.8062959350920947,5,12
Mr Bean,Saudi Arabia,0.7647603800317763,0.46497764530551416,0.41290239217028346,High,0.8860991430169738,3,13
Peppa Pig,Japan,0.3210582559565716,0.14903129657228018,0.3791775657724457,Low,2.5273231281432693,5,9
Pokemon,Uk,0.5145962523291051,0.5305514157973175,0.7630331684476194,Medium,1.4354832773854689,6,21
Pokemon,Egypt,0.8808466173578056,0.04769001490312966,1.0,High,20.538091885770253,6,4
Shinchan,Uk,0.8321431737689012,0.5722801788375559,0.38550170567409847,High,0.6724490395879078,7,21
Tom And Jerry,Nigeria,0.06981007960623054,0.518628912071535,0.4298461591436522,Low,0.8272175569100688,9,11
Peppa Pig,China,0.33243995571074936,0.31594634873323396,0.17880840508806792,Medium,0.5641598516680393,5,3
Mickey Mouse,Mexico,0.820747551709555,0.40536512667660207,0.22038230785486487,High,0.5423258379901579,1,10
Shinchan,China,0.15436121877154885,0.22652757078986588,0.3786554503025038,Low,1.6642178747304992,7,3
Mickey Mouse,South Africa,0.06842074718155144,0.2444113263785395,1.0,Low,4.074791554068415,1,14
Pokemon,India,0.2933677759652088,0.13710879284649777,0.6823385063034262,Low,4.940586998409415,6,7
Mickey Mouse,Saudi Arabia,0.2539773394135423,0.03576751117734724,0.7683297398835114,Low,20.89697440159848,1,13
Peppa Pig,France,0.9993735655001793,0.10730253353204172,0.31358094530584285,High,2.8954165251643786,5,5
Mickey Mouse,Usa,0.8328388996731885,0.20268256333830104,0.5857937857127236,High,2.8760134206469368,1,23
Tom And Jerry,Usa,0.5795738053684028,0.14307004470938897,0.18147091972714402,Medium,1.2596020227049853,9,23
Spongebob Squarepants,Brazil,0.4818478298737412,0.8941877794336811,1.0,Medium,1.1170840609917907,8,1
Mickey Mouse,Spain,0.26445857835242387,0.30998509687034276,1.0,Low,3.2155881746864683,1,16
Mr Bean,Egypt,0.6476523806394415,0.38152011922503726,0.16825528663956263,Medium,0.43985996600763827,3,4
Pokemon,Egypt,0.6704862188501712,0.44113263785394935,1.0,High,2.261764715796286,6,4
Mickey Mouse,Spain,0.2361126382309957,0.5484351713859911,1.0,Low,1.8200509397267481,1,16
Pokemon,Uae,0.333509156432516,0.45901639344262296,1.0,Medium,2.1738355725027616,6,20
Tom And Jerry,France,0.1299921314434368,0.2414307004470939,0.47226432716461414,Low,1.948038455086992,9,5
Doraemon,South Korea,0.47624596542325026,0.6259314456035767,0.24897228505291452,Medium,0.39712840502555596,0,15
Paw Patrol,India,0.4016172545125605,0.39940387481371087,0.24442334262413679,Medium,0.6104420011865657,4,7
Peppa Pig,Italy,0.2948977459498898,0.35767511177347244,0.3835447539671036,Low,1.0693375184875888,5,8
Mr Bean,South Korea,0.4159896502614953,0.35171385991058124,0.1427709340287413,Medium,0.4047783494103013,3,15
Shinchan,Spain,0.586465082739477,0.28017883755588674,0.2267764065132591,Medium,0.8065201794149437,7,16
Doraemon,Spain,0.15473017585826143,0.16095380029806258,0.305145198358209,Low,1.8841496636486115,0,16
Paw Patrol,Uae,0.6089949155530653,0.5543964232488823,0.10264620914613541,Medium,0.18481611484944324,4,20
Tom And Jerry,China,0.09175768305444532,0.47391952309985097,0.1891090827513748,Low,0.3981918484147365,9,3
Shinchan,Uae,0.4431129743303261,0.488822652757079,0.15261818582981346,Medium,0.3115784559386281,7,20
Peppa Pig,Usa,0.05478195851808099,0.19076005961251863,0.4171544549334199,Low,2.1753980248876963,5,23
Tom And Jerry,Nigeria,0.35416717135962456,0.8852459016393442,0.015539698842040268,Medium,0.017534296986079733,9,11
Mickey Mouse,Italy,0.4600969018938087,0.30402384500745155,1.0,Medium,3.2784322156045556,1,8
Motu Patlu,Brazil,0.5306048207726483,0.29210134128166915,0.5217108282868405,Medium,1.779967386043036,2,1
Tom And Jerry,Japan,0.4941170250173887,0.706408345752608,0.5033551881390969,Medium,0.7115482749974908,9,9
Spongebob Squarepants,Russia,0.591419756831021,0.12518628912071536,0.7467688700398167,Medium,5.917987407692326,8,12
Shinchan,Russia,0.7389210454812405,0.46497764530551416,0.17867339440495053,High,0.3834376953594091,7,12
Spongebob Squarepants,Brazil,0.9909860226468876,0.7421758569299552,0.6189787157979124,High,0.832883240253392,8,1
Spongebob Squarepants,Mexico,0.6565640864104779,0.21460506706408344,0.9582263988424484,Medium,4.444359364511775,8,10
Mickey Mouse,Japan,0.7916619578635435,0.5365126676602087,1.0,High,1.8604212703544227,1,9
Paw Patrol,Brazil,0.7661562076678196,0.13114754098360656,0.16480815255943812,High,1.2471526245038735,4,1
Paw Patrol,Uae,0.1622472120884505,0.5007451564828614,0.09463087524300125,Low,0.18860346536545716,4,20
Pokemon,Russia,0.9655966371940364,0.17287630402384502,1.0,High,5.751214954873104,6,12
Paw Patrol,Australia,0.25000321158900707,0.30998509687034276,0.06071517226446156,Low,0.19523498995765443,4,0
Motu Patlu,South Korea,0.8167032558555005,0.04769001490312966,0.21904244281013266,High,4.49871381731808,2,15
Spongebob Squarepants,Italy,0.28687939731326817,0.8405365126676602,1.0,Low,1.1883025691066127,8,8
Mr Bean,Uae,0.28810157803923053,0.06557377049180328,0.34969464579914994,Low,5.252739077505083,3,20
Paw Patrol,Canada,0.001564335933398997,0.46497764530551416,0.3633901235283199,Low,0.7798445423064584,4,2
Paw Patrol,India,0.63567079146863,0.22056631892697467,0.1978361348024005,Medium,0.8928980530998697,4,7
Peppa Pig,Usa,0.6427956162027203,0.5484351713859911,0.38010187963231207,Medium,0.6918047832166929,5,23
Pokemon,Australia,0.3100758829368918,0.44113263785394935,0.07551785463723228,Low,0.1708036190311249,6,0
Spongebob Squarepants,South Korea,0.8946374949550533,0.2503725782414307,0.8204889561476404,High,3.2640352495394387,8,15
Shinchan,Brazil,0.08006891107499525,0.26229508196721313,0.392102413483737,Low,1.489212827501896,7,1
Spongebob Squarepants,Usa,0.3633111306509823,0.8137108792846498,0.0666601154551262,Medium,0.08182057850222471,8,23
Mr Bean,Mexico,0.15343816339270813,0.30998509687034276,0.41657450253226946,Low,1.339532044218664,3,10
Mr Bean,Brazil,0.5616727107596471,0.22652757078986588,0.12104778695143636,Medium,0.5320137095087725,3,1
Tom And Jerry,Russia,0.9675612363630625,0.8047690014903129,0.040429868684966744,High,0.05017550763331617,9,12
Tom And Jerry,Uk,0.2367361842868705,0.45603576751117736,0.20420301751821637,Low,0.4467987672610817,9,21
Motu Patlu,South Africa,0.8233393995083906,0.26825633383010433,0.2478780699167508,High,0.9206025588729778,2,14
Peppa Pig,South Korea,0.8313908064675414,0.2563338301043219,0.17928436112927573,High,0.6966995402687424,5,15
Shinchan,Egypt,0.614428278308198,0.518628912071535,0.5127583162013601,Medium,0.9867778799243775,7,4
Peppa Pig,Japan,0.5767712314773791,0.46497764530551416,0.3497159059563521,Medium,0.7504993200415525,5,9
Pokemon,Mexico,0.05991303293466899,0.39344262295081966,0.5661902994830246,Low,1.4354186554367856,6,10
Spongebob Squarepants,Spain,0.24173786093646712,0.5543964232488823,0.17280622944404633,Low,0.3111403354619895,8,16
Tom And Jerry,Italy,0.9959694110954168,0.39344262295081966,0.05395856648361799,High,0.13679699744402551,9,8
Doraemon,South Africa,0.1074970843712074,0.33979135618479883,0.41699059584316117,Low,1.2235949893548421,0,14
Paw Patrol,Russia,0.9890907006207226,0.11922503725782414,0.057531945754399356,High,0.47853547868753293,4,12
Tom And Jerry,Nigeria,0.7135918463248067,0.6348733233979136,0.33208137606567817,High,0.5222445475321033,9,11
Peppa Pig,Italy,0.48984665206625916,0.38748137108792846,0.20390488226612247,Medium,0.5248768601055284,5,8
Doraemon,Saudi Arabia,0.58352327704764,0.7600596125186289,0.42278210611088496,Medium,0.5555177270696864,0,13
Shinchan,South Korea,0.4103774093227051,0.38748137108792846,0.4018943393995461,Medium,1.0345266705429275,7,15
Pokemon,Brazil,0.5462732192448302,0.5782414307004471,1.0,Medium,1.7263958463584883,6,1
Motu Patlu,Germany,0.690239911563607,0.39344262295081966,0.5084984154465797,High,1.2891568655600916,2,6
Mickey Mouse,Spain,0.2904526519929356,0.5722801788375559,1.0,Low,1.7443477673128465,1,16
Motu Patlu,China,0.23928206594629609,0.4292101341281669,0.13088915881058164,Low,0.30424471305361567,2,3
Tom And Jerry,Brazil,0.8783996215142282,0.26825633383010433,0.16020319158325647,High,0.5949839296420847,9,1
Mr Bean,Usa,0.8822449731648332,0.05365126676602086,0.21933371036565566,High,4.0133325967482465,3,23
Doraemon,Uk,0.45434907815679504,0.6438152011922503,0.5111169397492182,Medium,0.7926564677820456,0,21
Tom And Jerry,Brazil,0.295024257658282,0.2593144560357675,0.466714178962328,Low,1.7928861349836094,9,1
Shinchan,Italy,0.38357439067603083,0.23248882265275708,0.16812364466513074,Medium,0.7200500767232144,7,8
Doraemon,Brazil,0.8951183698162541,0.39344262295081966,0.3495651200673493,High,0.8862255236319483,0,1
Pokemon,Uae,0.9127968882831045,0.5365126676602087,1.0,High,1.8604212703544227,6,20
Paw Patrol,Saudi Arabia,0.9028881602398089,0.43517138599105815,0.18222440574837642,High,0.41778166014794965,4,13
Shinchan,Usa,0.45679847571187604,0.38152011922503726,0.17147684377733324,Medium,0.448281894622262,7,23
Shinchan,Japan,0.8942184453384515,0.38748137108792846,0.22573026490345308,High,0.5810581451339697,7,9
Mickey Mouse,Russia,0.3756455338019876,0.5305514157973175,0.23128209363528404,Medium,0.4351076617646952,1,12
Tom And Jerry,India,0.46300390119478,0.5275707898658718,0.44904980239600534,Medium,0.8495547067781679,9,7
Shinchan,Uae,0.01564579636354957,0.10134128166915052,0.2459743396541007,Low,2.403471362116491,7,20
Pokemon,Usa,0.2341615171416569,0.46497764530551416,0.9827593258202056,Low,2.109026764955362,6,23
Paw Patrol,Usa,0.7352121093241697,0.5424739195230999,0.2724712390290555,High,0.5013510846447791,4,23
Spongebob Squarepants,Germany,0.47351882041221993,0.38450074515648286,0.24964675176507484,Medium,0.6475908410079414,8,6
Paw Patrol,Australia,0.449786825829248,0.43517138599105815,0.10806929340155323,Medium,0.24776795744177665,4,0
Mr Bean,Egypt,0.9070328275335156,0.03576751117734724,0.10782257623708176,High,2.9325503082599758,3,4
Peppa Pig,Canada,0.38066174437292255,0.29806259314456035,0.1992104154662358,Medium,0.6661161242922208,5,2
Spongebob Squarepants,South Korea,0.741252378716489,0.6706408345752608,0.9524131219999762,High,1.418039334374708,8,15
Mr Bean,Italy,0.9665082672503437,0.39940387481371087,0.40024296965038686,High,0.9995981428416524,3,8
Paw Patrol,Nigeria,0.9451881112008982,0.029806259314456036,0.459385849638522,High,14.912094485387657,4,11
Spongebob Squarepants,Uae,0.015731766869219732,0.5096870342771982,0.8720406217558324,Low,1.7075832422299044,8,20
Mickey Mouse,Uk,0.2409688323135082,0.22056631892697467,0.44841177890307155,Low,2.023826460062561,1,21
Mr Bean,Japan,0.7595858501768448,0.31594634873323396,0.261902759155099,High,0.8263315233062872,3,9
Spongebob Squarepants,Uk,0.2297664971010167,0.8315946348733234,0.7848923334955464,Low,0.9427064511591109,8,21
Peppa Pig,Italy,0.1441915612835769,0.32786885245901637,0.1666856759102875,Low,0.5068454329558615,5,8
Paw Patrol,China,0.07842769101852809,0.29210134128166915,0.24093525953333095,Low,0.8220203240277675,4,3
Mickey Mouse,France,0.22813838985421658,0.31594634873323396,1.0,Low,3.1551081247560786,1,5
Shinchan,China,0.10655091771126113,0.26229508196721313,0.4156381186763797,Low,1.578601907680665,7,3
Paw Patrol,Spain,0.7844387242528075,0.03576751117734724,0.21437964843953874,High,5.8306815330927195,4,16
Peppa Pig,Brazil,0.4931239422107847,0.35767511177347244,0.1669417912517997,Medium,0.46544013167335324,5,1
Pokemon,Uk,0.3956919784264058,0.31594634873323396,0.5489749992445114,Medium,1.7320754804043201,6,21
Tom And Jerry,Australia,0.3982395825440081,0.8852459016393442,0.26998560533337196,Medium,0.30463960942889867,9,0
Mickey Mouse,Australia,0.6817126331300877,0.5842026825633383,1.0,High,1.7088096650885856,1,0
Mickey Mouse,Germany,0.7152363912994263,0.08345752608047691,0.9827854788215404,High,11.636446441553062,1,6
Mickey Mouse,Spain,0.5938199433548775,0.10730253353204172,1.0,Medium,9.2333943388697,1,16
Mickey Mouse,South Korea,0.22200107954946335,0.45305514157973176,0.9460972645229611,Low,2.083661603811675,1,15
Paw Patrol,South Africa,0.9617278656799704,0.5842026825633383,0.17348151414081756,High,0.29644688807803116,4,14
Pokemon,Japan,0.11508526669878592,0.518628912071535,1.0,Low,1.9244502697385213,6,9
Spongebob Squarepants,Canada,0.18638692528366196,0.4918032786885246,1.0,Low,2.029207278533648,8,2
Mr Bean,Japan,0.5368890105706441,0.17883755588673622,0.14679214899027318,Medium,0.8162485764804576,3,9
Peppa Pig,Spain,0.8137382542609338,0.2563338301043219,0.3234112928431209,High,1.2567772092461045,5,16
Spongebob Squarepants,South Korea,0.4230387820732123,0.6527570789865872,1.0,Medium,1.5296201481292357,8,15
Spongebob Squarepants,Spain,0.19512849163424917,0.6795827123695977,0.8163615833204909,Low,1.1995038493971577,8,16
Shinchan,Canada,0.5376086182048194,0.37555886736214605,0.42167303828166236,Medium,1.1198064229254463,7,2
Paw Patrol,Usa,0.21854193501007346,0.5901639344262295,0.41024981247876324,Low,0.6939696226173583,4,23
Shinchan,Canada,0.6891335871117624,0.4947839046199702,0.09486925814554888,High,0.19135203313683277,7,2
Spongebob Squarepants,Brazil,0.2893332434649436,0.6259314456035767,1.0,Low,1.5950707322349296,8,1
Motu Patlu,China,0.8284818026986327,0.5424739195230999,0.0820409876613684,High,0.15095662315012215,2,3
Shinchan,Spain,0.5819555446689805,0.5842026825633383,0.5292143438897305,Medium,0.9043265857422861,7,16
Mickey Mouse,Australia,0.2835930760037538,0.12518628912071536,0.8007931758104392,Low,6.346118753396141,1,0
Pokemon,Brazil,1.0,0.12518628912071536,0.5042410855512135,High,3.9960053430910727,6,1
Shinchan,Brazil,0.7259883634704453,0.35171385991058124,1.0,High,2.8351593562371393,7,1
Doraemon,Uk,0.13217515109256084,0.4828614008941878,0.43967314225424853,Low,0.9086757931955757,0,21
Tom And Jerry,Japan,0.650020213157807,0.8673621460506706,0.4085921799188535,Medium,0.470532003009504,9,9
Shinchan,Mexico,0.7910766611980661,0.518628912071535,0.30359953121461186,High,0.5842621997384484,7,10
Motu Patlu,Australia,0.05456913101525296,0.20864381520119224,0.06618587598802718,Low,0.31570631322707765,2,0
Spongebob Squarepants,Saudi Arabia,0.172770312150761,0.12518628912071536,0.12548154536467593,Low,0.9944150528480535,8,13
Paw Patrol,South Korea,0.6405372883123518,0.14307004470938897,0.17241287257161833,Medium,1.1967295000109226,4,15
Mickey Mouse,Japan,0.9534279767160722,0.21460506706408344,0.7185957795723621,High,3.3329262125308805,1,9
Tom And Jerry,India,0.5230053627284083,0.8673621460506706,0.20579686267209824,Medium,0.23699428125473537,9,7
Doraemon,Nigeria,0.576651674714184,0.563338301043219,0.035311505346475806,Medium,0.06257152009920292,0,11
Peppa Pig,Australia,0.36397649633124074,0.16095380029806258,0.46743543612667493,Medium,2.8862270305877273,5,0
Spongebob Squarepants,Italy,0.3728081667378613,0.09836065573770492,1.0,Medium,10.064345817521861,8,8
Motu Patlu,Japan,0.20067115345295583,0.2563338301043219,0.1361408512691667,Low,0.5290437375217081,2,9
Paw Patrol,India,0.5415451999487257,0.5543964232488823,1.0,Medium,1.800515736400203,4,7
Paw Patrol,Usa,0.2798252708690363,0.20268256333830104,0.2854764688487102,Low,1.401575393444729,4,23
Shinchan,Mexico,0.43498287843498534,0.20864381520119224,0.46389486784396905,Medium,2.2127763101371514,7,10
Pokemon,Australia,0.10897283371843802,0.36959761549925485,0.673385331484318,Low,1.8170255374610524,6,0
Motu Patlu,Germany,0.04032980810866338,0.27421758569299554,0.3885973931280881,Low,1.41196425420855,2,6
Tom And Jerry,Russia,0.09472527699204712,0.19672131147540983,0.03866812532036783,Low,0.19556882883197393,9,12
Shinchan,Japan,0.9024960819332815,0.12518628912071536,0.46193465128038524,High,3.6607356829273123,7,9
Peppa Pig,South Africa,0.17280721183078918,0.16691505216095381,0.24574286190220204,Low,1.4634951348295262,5,14
Pokemon,Usa,0.4192348211963311,0.4292101341281669,1.0,Medium,2.3244454759917,6,23
Pokemon,Saudi Arabia,0.17981587369786922,0.19672131147540983,1.0,Low,5.057623745958047,6,13
Peppa Pig,Uk,0.5336895645878103,0.5901639344262295,0.5422752431428065,Medium,0.9173009575916141,5,21
Tom And Jerry,Spain,0.7005608033514183,0.6885245901639344,0.5164012662269467,High,0.7489236404232841,9,16
Tom And Jerry,Canada,0.4779889881661794,0.7421758569299552,0.0757469484113779,Medium,0.10192331694450765,9,2
Doraemon,China,0.8606694665915509,0.46497764530551416,0.36218770867762207,High,0.7772641291411241,0,3
Mickey Mouse,Italy,0.693560398292543,0.29806259314456035,0.9682648494890854,High,3.2376661999350995,1,8
Doraemon,Mexico,0.5674827548293974,0.40238450074515647,0.5267259453410907,Medium,1.305766444590931,0,10
Shinchan,Brazil,0.8216618054283099,0.5842026825633383,0.24607609729461924,High,0.4204972134043245,7,1
Shinchan,Russia,0.8845519975872275,0.31594634873323396,0.20767080397671495,High,0.6552238409015603,7,12
Mr Bean,Usa,0.9516621314341208,0.15499254843517138,0.09213382150654836,High,0.5906296321893739,3,23
Peppa Pig,South Korea,0.8897532704040437,0.10134128166915052,0.530425583796324,High,5.182909331847991,5,15
Motu Patlu,Mexico,0.1535899345167342,0.35171385991058124,0.4493390554103348,Low,1.2739478270693692,2,10
Motu Patlu,Uk,0.4890968121206573,0.09538002980625931,0.21423286278154785,Medium,2.2227930745839495,2,21
Pokemon,France,0.6964709510465596,0.5365126676602087,0.8914872781249028,High,1.658541894473938,6,5
Paw Patrol,South Africa,0.2988521090072024,0.5722801788375559,0.31320231600211723,Low,0.5463337606355059,4,14
Pokemon,Australia,0.42337489931559946,0.35767511177347244,1.0,Medium,2.7880384425211178,6,0
Shinchan,Egypt,0.45815718112261516,0.5603576751117735,0.28698654850339,Medium,0.5112365274889086,7,4
Shinchan,Uk,0.8801357846250324,0.22652757078986588,0.26706407631258566,High,1.1737657787382343,7,21
Peppa Pig,Mexico,0.23757929391630722,0.23248882265275708,0.016343204902644307,Low,0.06999566282001346,5,10
Shinchan,Germany,0.8258233317797506,0.34575260804769004,0.05354788659999141,High,0.15442677389358464,7,6
Paw Patrol,Nigeria,0.7095693983643895,0.4292101341281669,0.02103879173464027,High,0.048903524267916144,4,11
Pokemon,Australia,0.5051263749371638,0.11922503725782414,0.407378567419128,Medium,3.3884669675377133,6,0
Paw Patrol,France,0.28506937643476193,0.14903129657228018,0.4255966796694027,Low,2.836719333851548,4,5
Mickey Mouse,India,0.17320065648214478,0.19672131147540983,1.0,Low,5.057623745958047,1,7
Mickey Mouse,Australia,0.8243108214706636,0.10730253353204172,1.0,High,9.2333943388697,1,0
Motu Patlu,Japan,0.32513707027950584,0.5245901639344263,0.4862326089931564,Low,0.925117405838325,2,9
Peppa Pig,China,0.997469099578296,0.34575260804769004,0.40237645018540036,High,1.1604136229886992,5,3
Mr Bean,South Africa,0.5073148556068153,0.5305514157973175,0.10303401315508003,Medium,0.19383640056819504,3,14
Tom And Jerry,Japan,0.8714322321644818,0.4202682563338301,0.3209341744254556,High,0.7618285251740741,9,9
Peppa Pig,Australia,0.3816692198055871,0.06557377049180328,0.08667814267650749,Medium,1.3019863834688392,5,0
Pokemon,Brazil,0.6310327722626952,0.5126676602086438,0.7469941297679336,Medium,1.4542362457946372,6,1
Shinchan,South Korea,0.38331642005346067,0.17883755588673622,0.5173172459745071,Medium,2.8765807198821114,7,15
Doraemon,Spain,0.5033364786853692,0.11624441132637854,0.1661066867754549,Medium,1.4167556892162325,0,16
Tom And Jerry,Spain,0.9068942361936376,0.06259314456035768,0.3972239821953208,High,6.246333389258752,9,16
Spongebob Squarepants,Mexico,0.5347334341938406,0.09836065573770492,1.0,Medium,10.064345817521861,8,10
Paw Patrol,Australia,0.3011164547567923,0.5305514157973175,0.34099126726887363,Low,0.6415019453149098,4,0
Peppa Pig,Uk,0.777958916597023,0.17883755588673622,0.22620939637927062,High,1.2578540409086738,5,21
Pokemon,Japan,0.66902193050164,0.09538002980625931,0.1376293128084919,High,1.4279857879806723,6,9
Motu Patlu,Brazil,0.3602146640538878,0.35171385991058124,0.05662517572061125,Medium,0.16054139674286308,2,1
Tom And Jerry,Uae,0.3726221532744488,0.16989567809239942,0.5239125839464542,Medium,3.065686562671214,9,20
Tom And Jerry,Usa,0.10371310573836943,0.5901639344262295,0.3709447645183116,Low,0.627482061939963,9,23
Tom And Jerry,South Korea,0.6549735688733901,0.8137108792846498,0.4060895481068396,Medium,0.4984462076453468,9,15
Paw Patrol,Uk,0.4819296773206404,0.518628912071535,0.4574938290561237,Medium,0.8804241227307662,4,21
Tom And Jerry,South Africa,0.49164796114440124,0.35767511177347244,0.1254313287406373,Medium,0.3497073664254008,9,14
Peppa Pig,Russia,0.7452389646572842,0.33383010432190763,1.0,High,2.986589279435263,5,12
Paw Patrol,Russia,0.054275213305567845,0.37555886736214605,0.41890844544936773,Low,1.1124646947869987,4,12
Shinchan,Italy,0.799912715643522,0.30998509687034276,0.030106380865352556,High,0.09680972229323465,7,8
Shinchan,Uk,0.4570460082929889,0.5722801788375559,0.41337679140056466,Medium,0.7210728831385232,7,21
Pokemon,Nigeria,0.5303643475190842,0.35767511177347244,0.7969043801244762,Medium,2.2218000468005017,6,11
Tom And Jerry,Uae,0.38466263874370415,0.8315946348733234,0.15284934030983907,Medium,0.1835819424095792,9,20
Mickey Mouse,Nigeria,0.8607075461291581,0.44709388971684055,0.3410297846351459,High,0.7610676968852429,1,11
Tom And Jerry,Italy,0.5622802114514255,0.8047690014903129,0.3687090284359847,Medium,0.45758651394386923,9,8
Doraemon,China,0.26697826944429437,0.36661698956780925,0.08433443017730029,Low,0.22940841302369752,0,3
Spongebob Squarepants,Egypt,0.5612705527908106,0.8405365126676602,1.0,Medium,1.1883025691066127,8,4
